Feature,Importance
lead_time,0.005022964
arrival_date_year,0.00761436
arrival_date_week_number,0.0017678592
arrival_date_day_of_month,0.00086896605
stays_in_weekend_nights,0.0024708512
stays_in_week_nights,0.0016861601
adults,0.001962825
children,0.0014609005
babies,0.0015718275
previous_cancellations,0.019379267
previous_bookings_not_canceled,0.0064712265
booking_changes,0.0063551245
days_in_waiting_list,0.0038216757
adr,0.0020649757
required_car_parking_spaces,0.050994348
total_of_special_requests,0.017237917
hotel_City Hotel,0.0028118822
hotel_Resort Hotel,0.0
arrival_date_month_April,0.0013271818
arrival_date_month_August,0.0025547312
arrival_date_month_December,0.0024177125
arrival_date_month_February,0.002592017
arrival_date_month_January,0.0013893048
arrival_date_month_July,0.0014853204
arrival_date_month_June,0.0016430465
arrival_date_month_March,0.00080900505
arrival_date_month_May,0.001104367
arrival_date_month_November,0.0013263414
arrival_date_month_October,0.001493323
arrival_date_month_September,0.0010125876
meal_BB,0.0027845332
meal_FB,0.0020184882
meal_HB,0.0014402156
meal_SC,0.0012725599
meal_Undefined,0.0043505095
country_ABW,0.0
country_AGO,0.006461011
country_AIA,0.0
country_ALB,0.0
country_AND,0.0
country_ARE,0.0015019937
country_ARG,0.00096537697
country_ARM,0.0
country_ASM,0.0
country_ATA,0.0
country_ATF,0.0
country_AUS,0.0005292612
country_AUT,0.002644111
country_AZE,0.0
country_BDI,0.0
country_BEL,0.0037292999
country_BEN,0.0
country_BFA,0.0
country_BGD,0.00055552553
country_BGR,0.000777613
country_BHR,0.0
country_BHS,0.0
country_BIH,0.0
country_BLR,0.0
country_BOL,0.0
country_BRA,0.002606911
country_BRB,0.0
country_BWA,0.0
country_CAF,0.0
country_CHE,0.0027215844
country_CHL,0.0
country_CHN,0.005046068
country_CIV,0.0
country_CMR,0.00048444886
country_CN,0.0
country_COL,0.0009450576
country_COM,0.0
country_CPV,0.00053268287
country_CRI,0.0
country_CUB,0.0
country_CYM,0.0
country_CYP,0.0
country_CZE,0.0
country_DEU,0.007395563
country_DJI,0.0
country_DMA,0.0
country_DNK,0.0010981656
country_DOM,0.00041396412
country_DZA,0.00033172895
country_ECU,0.00043226645
country_EGY,0.0
country_ESP,0.0048792674
country_EST,0.00065003225
country_ETH,0.0
country_FIN,0.0024177614
country_FJI,0.0
country_FRA,0.0033101742
country_FRO,0.0
country_GAB,0.0
country_GBR,0.0024771127
country_GEO,0.0006363241
country_GGY,0.0
country_GHA,0.0
country_GIB,0.0007998257
country_GLP,0.0
country_GNB,0.0
country_GRC,0.0005114675
country_GTM,0.0
country_GUY,0.0
country_HKG,0.0014612558
country_HRV,0.0018972671
country_HUN,0.0014283474
country_IDN,0.0014677783
country_IMN,0.0
country_IND,0.0
country_IRL,0.0023763028
country_IRN,0.0016632779
country_IRQ,0.0
country_ISL,0.0
country_ISR,0.0015452835
country_ITA,0.008459232
country_JAM,0.0
country_JEY,0.0007403665
country_JOR,0.0
country_JPN,0.0014958322
country_KAZ,0.0
country_KEN,0.0
country_KHM,0.0
country_KIR,0.0
country_KNA,0.0
country_KOR,0.0008220711
country_KWT,0.0
country_LAO,0.0
country_LBN,0.0
country_LBY,0.0
country_LIE,0.0
country_LKA,0.0
country_LTU,0.00091255753
country_LUX,0.0013742538
country_LVA,0.0
country_MAC,0.00095680763
country_MAR,0.0028501272
country_MCO,0.0
country_MDG,0.0
country_MDV,0.00053890445
country_MEX,0.0004695444
country_MKD,0.0
country_MLI,0.0
country_MLT,0.0
country_MMR,0.0
country_MNE,0.0
country_MOZ,0.0005304442
country_MRT,0.0
country_MUS,0.0
country_MWI,0.0
country_MYS,0.0005383532
country_NAM,0.0
country_NCL,0.0
country_NGA,0.0015033103
country_NIC,0.0
country_NLD,0.00389159
country_NOR,0.0012029648
country_NPL,0.0
country_NZL,0.0012203543
country_OMN,0.0
country_PAK,0.0
country_PAN,0.00053170335
country_PER,0.0
country_PHL,0.0010860383
country_PLW,0.0
country_POL,0.0014619272
country_PRI,0.0
country_PRT,0.024725867
country_PRY,0.0
country_PYF,0.0
country_QAT,0.0005513323
country_ROU,0.0015488087
country_RUS,0.0017609623
country_RWA,0.0
country_SAU,0.0017270185
country_SDN,0.0
country_SEN,0.0004024194
country_SGP,0.0007999735
country_SLE,0.0
country_SLV,0.0
country_SMR,0.0
country_SRB,0.0
country_STP,0.0
country_SUR,0.0
country_SVK,0.0
country_SVN,0.001050946
country_SWE,0.0013213828
country_SYC,0.0
country_SYR,0.0
country_TGO,0.0
country_THA,0.0007949726
country_TJK,0.0
country_TMP,0.0
country_TUN,0.00096914865
country_TUR,0.0008552563
country_TWN,0.0
country_TZA,0.0
country_UGA,0.0
country_UKR,0.0005622227
country_UMI,0.0
country_URY,0.0
country_USA,0.0010690336
country_UZB,0.0
country_VEN,0.00069586304
country_VGB,0.0
country_VNM,0.0
country_ZAF,0.0010371228
country_ZMB,0.0
country_ZWE,0.0
country_nan,0.0016505091
market_segment_Aviation,0.0014741301
market_segment_Complementary,0.00076331577
market_segment_Corporate,0.0016634043
market_segment_Direct,0.008446696
market_segment_Groups,0.0032249463
market_segment_Offline TA/TO,0.0054966127
market_segment_Online TA,0.044454392
market_segment_Undefined,0.0
distribution_channel_Corporate,0.002052215
distribution_channel_Direct,0.0038145164
distribution_channel_GDS,0.0019277878
distribution_channel_TA/TO,0.0020177944
distribution_channel_Undefined,0.0
is_repeated_guest_0,0.0063000037
is_repeated_guest_1,0.0
reserved_room_type_A,0.010697224
reserved_room_type_B,0.0021635243
reserved_room_type_C,0.00065634254
reserved_room_type_D,0.0011330309
reserved_room_type_E,0.0014062935
reserved_room_type_F,0.0018362686
reserved_room_type_G,0.002526564
reserved_room_type_H,0.0
reserved_room_type_L,0.0
reserved_room_type_P,0.0032212099
assigned_room_type_A,0.0055312593
assigned_room_type_B,0.00221802
assigned_room_type_C,0.0014760194
assigned_room_type_D,0.0011377619
assigned_room_type_E,0.002267694
assigned_room_type_F,0.0022347237
assigned_room_type_G,0.0011410186
assigned_room_type_H,0.0
assigned_room_type_I,0.00398206
assigned_room_type_K,0.0020771676
assigned_room_type_P,0.0
deposit_type_No Deposit,0.017161995
deposit_type_Non Refund,0.5317968
deposit_type_Refundable,0.0
customer_type_Contract,0.0026928766
customer_type_Group,0.0
customer_type_Transient,0.011527828
customer_type_Transient-Party,0.006090861
