Feature,Importance
deposit_type,0.5086126
country,0.13959047
market_segment,0.08235863
required_car_parking_spaces,0.053012136
reserved_room_type,0.02591906
assigned_room_type,0.025874116
customer_type,0.024218678
previous_cancellations,0.023319677
arrival_date_month,0.020398123
total_of_special_requests,0.016223218
distribution_channel,0.0128968805
meal,0.011385306
previous_bookings_not_canceled,0.007555173
arrival_date_year,0.0073083052
booking_changes,0.0064581763
lead_time,0.0054635094
is_repeated_guest,0.0046453974
hotel,0.0040097153
days_in_waiting_list,0.0038746397
babies,0.0035326614
adr,0.0025924928
stays_in_week_nights,0.0022587772
stays_in_weekend_nights,0.0020429732
adults,0.0018838192
children,0.0017841452
arrival_date_week_number,0.0017824083
arrival_date_day_of_month,0.0009989098
